occurrence_no,record_type,reid_no,flags,collection_no,permissions,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,abund_value,abund_unit,collection_name,collection_subset,collection_aka
4116,occ,,,358,,Panderodus gracilis,species,344859,,Panderodus gracilis,species,344858,Richmondian,,449.5,443.7,61178,,,"Isotelus-Diplograptus community, Maquoketa Fm.",,
42791,occ,,,3345,,Distomodus kentuckyensis,species,344776,,Distomodus kentuckyensis,species,344776,Rhuddanian,,443.4,440.8,185,rare,category,"Well FT 3, Unit 6",,
127512,occ,,,10442,,Erismodus typus,species,392031,,Erismodus typus,species,392031,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
127515,occ,,,10442,,Microcoelodus unicornis,species,392032,subjective synonym of,Erismodus asymmetricus,species,392024,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
127518,occ,,,10442,,Pteroconus gracilis,species,392018,recombined as,Erismodus gracilis,species,392018,Blackriveran,Richmondian,460.9,443.7,3841,,,Bighorn Formation Conodonts,,
128909,occ,,,10641,,Dapsilodus obliquicostatus,species,344768,,Dapsilodus obliquicostatus,species,344767,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128910,occ,,F,10641,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128921,occ,,,10641,,Belodina confluens,species,348610,,Belodina confluens,species,348610,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128922,occ,,,10641,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128928,occ,,,10641,,Scabbardella altipes,species,351268,,Scabbardella altipes,species,346744,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
128931,occ,,,10641,,Panderodus feulneri,species,348577,,Panderodus feulneri,species,348576,Edenian,Richmondian,460.9,443.7,3944,,,"Conodonts in Central Nevada, Lone Mountain Section",,
129325,occ,,,10667,,Scabbardella altipes,species,351268,,Scabbardella altipes,species,346744,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129326,occ,,,10667,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129328,occ,,,10667,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129331,occ,,,10667,,Ozarkodina hassi,species,324235,,Ozarkodina hassi,species,324236,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129333,occ,,,10667,,Hamarodus europaeus,species,351265,,Hamarodus europaeus,species,351264,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129336,occ,,,10667,,Panderodus unicostatus,species,344726,,Panderodus unicostatus,species,344726,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129339,occ,,,10667,,Walliserodus curvatus,species,344905,,Walliserodus curvatus,species,344903,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129340,occ,,,10667,,Decoriconus fragilis,species,344772,,Decoriconus fragilis,species,344771,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129343,occ,,F,10667,,Pseudobelodina vulgaris,species,348616,,Pseudobelodina vulgaris,species,348616,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129346,occ,,F,10667,,Pseudooneotodus mitratus,species,424024,,Pseudooneotodus mitratus,species,424023,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Monitor Range Section",,
129348,occ,,,10668,,Amorphognathus ordovicicus,species,301183,,Amorphognathus ordovicicus,species,301183,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
129352,occ,,,10668,,Drepanoistodus suberectus,species,348611,,Drepanoistodus suberectus,species,346755,Maysvillian,Richmondian,452,443.7,3944,,,"Conodonts in Central Nevada, Vinini Formation",,
